Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify the Social wall to view selected file in uploaded post.,EL-41,10080,Test,Blocked,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,03/Sep/21 4:28 AM,07/Sep/21 9:12 AM,09/Sep/21 4:53 AM,,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-23,EL-3,,,,,,,,,,,,{},,,,,,,0|i00066:9,,EL Sprint 1,,,,,,,,In Progress
Verify the comment field under uploaded post to enlarge field size.,EL-40,10079,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 3:28 PM,07/Sep/21 10:00 AM,07/Sep/21 9:45 AM,07/Sep/21 10:00 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-39,EL-3,,,,,,,,,,,,{},,,,,,,0|i00066:i,,EL Sprint 1,,,,,,,,Done
Verify the comment field in Social wall to enlarge field size.,EL-39,10078,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 3:21 PM,07/Sep/21 10:00 AM,07/Sep/21 8:46 AM,07/Sep/21 10:00 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-38,EL-3,,,,,,,,,,,,{},,,,,,,0|i00064:zi,,EL Sprint 1,,,,,,,,Done
Verify the uploaded post's comment for reply.,EL-38,10077,Test,Blocked,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 3:01 PM,07/Sep/21 9:07 AM,09/Sep/21 4:53 AM,,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-37,EL-3,,,,,,,,,,,,{},,,,,,,0|i00064:z,,EL Sprint 1,,,,,,,,In Progress
Verify the uploaded post to delete the comment on post.,EL-37,10076,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 2:34 PM,07/Sep/21 9:59 AM,09/Sep/21 4:53 AM,07/Sep/21 9:59 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-23,EL-3,,,,,,,,,,,,{},,,,,,,0|i00065:e,,EL Sprint 1,,,,,,,,Done
Verify the uploaded post's comment post button for comment field.,EL-36,10075,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 2:30 PM,07/Sep/21 9:59 AM,09/Sep/21 4:53 AM,07/Sep/21 9:59 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-35,EL-3,,,,,,,,,,,,{},,,,,,,0|i00065:f,,EL Sprint 1,,,,,,,,Done
Verify the uploaded post's comment post button for blank comment field.,EL-35,10074,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 2:27 PM,07/Sep/21 9:59 AM,07/Sep/21 4:01 AM,07/Sep/21 9:59 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-20,EL-3,,,,,,,,,,,,{},,,,,,,0|i00065:d,,EL Sprint 1,,,,,,,,Done
Verify the uploaded post's comment field for emojies.,EL-34,10073,Test,Blocked,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 2:25 PM,07/Sep/21 9:59 AM,07/Sep/21 9:05 AM,,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-9,EL-3,,,,,,,,,,,,{},,,,,,,0|i00065:9,,EL Sprint 1,,,,,,,,In Progress
Verify the uploaded post's comment field for null .,EL-33,10072,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 2:24 PM,07/Sep/21 4:53 AM,07/Sep/21 4:04 AM,07/Sep/21 4:53 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-8,EL-3,,,,,,,,,,,,{},,,,,,,0|i00064:si,,EL Sprint 1,,,,,,,,Done
Verify the uploaded post's comment field for 256 characters.,EL-32,10071,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 2:24 PM,07/Sep/21 9:59 AM,09/Sep/21 4:53 AM,07/Sep/21 9:59 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-7,EL-3,,,,,,,,,,,,{},,,,,,,0|i00065:i,,EL Sprint 1,,,,,,,,Done
Verify the uploaded post's comment field for special characters.,EL-31,10070,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 2:23 PM,07/Sep/21 9:58 AM,09/Sep/21 4:53 AM,07/Sep/21 9:58 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-6,EL-3,,,,,,,,,,,,{},,,,,,,0|i00064:u,,EL Sprint 1,,,,,,,,Done
Verify the uploaded post's comment field for numeric value.,EL-30,10069,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 2:22 PM,07/Sep/21 4:52 AM,09/Sep/21 4:53 AM,07/Sep/21 4:52 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-5,EL-3,,,,,,,,,,,,{},,,,,,,0|i00064:s,,EL Sprint 1,,,,,,,,Done
Verify the uploaded post's comment field for alphabetic value.,EL-29,10068,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 2:21 PM,07/Sep/21 9:58 AM,09/Sep/21 4:53 AM,07/Sep/21 9:58 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-4,EL-3,,,,,,,,,,,,{},,,,,,,0|i00064:t,,EL Sprint 1,,,,,,,,Done
Verify the Social wall uploaded post time.,EL-28,10067,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 2:17 PM,07/Sep/21 9:58 AM,07/Sep/21 4:01 AM,07/Sep/21 9:58 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,,EL-3,,,,,,,,,,,,{},,,,,,,0|i00064:m,,EL Sprint 1,,,,,,,,Done
Verify the Social wall post uploader's name for details.,EL-26,10065,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 2:09 PM,07/Sep/21 4:52 AM,09/Sep/21 4:53 AM,07/Sep/21 4:52 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-25,EL-3,,,,,,,,,,,,{},,,,,,,0|i00064:4,,EL Sprint 1,,,,,,,,Done
Verify the Social wall to archive the uploaded post.,EL-25,10064,Test,Blocked,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 11:50 AM,07/Sep/21 9:09 AM,09/Sep/21 4:53 AM,,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-24,EL-3,,,,,,,,,,,,{},,,,,,,0|i00063:x,,EL Sprint 1,,,,,,,,In Progress
Verify the Social wall to update the uploaded post.,EL-24,10063,Test,Blocked,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 11:49 AM,07/Sep/21 9:10 AM,09/Sep/21 4:53 AM,,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-23,EL-3,,,,,,,,,,,,{},,,,,,,0|i00064:y,,EL Sprint 1,,,,,,,,In Progress
Verify the Social wall to delete the uploaded post.,EL-23,10062,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 11:32 AM,07/Sep/21 9:59 AM,09/Sep/21 4:53 AM,07/Sep/21 9:59 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-22,EL-3,,,,,,,,,,,,{},,,,,,,0|i00064:w,,EL Sprint 1,,,,,,,,Done
Verify the upload button for no uploads no comments.,EL-22,10061,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 11:09 AM,07/Sep/21 9:57 AM,07/Sep/21 9:27 AM,07/Sep/21 9:57 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-21,EL-3,,,,,,,,,,,,{},,,,,,,0|i00064:x,,EL Sprint 1,,,,,,,,Done
Verify the upload button for no uploads.,EL-21,10060,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 10:56 AM,07/Sep/21 9:56 AM,07/Sep/21 4:21 AM,07/Sep/21 9:56 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-20,EL-3,,,,,,,,,,,,{},,,,,,,0|i00063:t,,EL Sprint 1,,,,,,,,Done
Verify the upload button for no comments.,EL-20,10059,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 10:49 AM,07/Sep/21 9:56 AM,07/Sep/21 4:29 AM,07/Sep/21 9:56 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-19,EL-3,,,,,,,,,,,,{},,,,,,,0|i00063:p,,EL Sprint 1,,,,,,,,Done
Verify the File Upload field for pptx file.,EL-19,10058,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 10:38 AM,07/Sep/21 9:58 AM,09/Sep/21 4:53 AM,07/Sep/21 9:58 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-18,EL-3,,,,,,,,,,,,{},,,,,,,0|i00063:o,,EL Sprint 1,,,,,,,,Done
Verify the File Upload field for jpg file.,EL-18,10057,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 10:37 AM,07/Sep/21 9:58 AM,09/Sep/21 4:53 AM,07/Sep/21 9:58 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-17,EL-3,,,,,,,,,,,,{},,,,,,,0|i00063:v,,EL Sprint 1,,,,,,,,Done
Verify the File Upload field for png file.,EL-17,10056,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 10:32 AM,07/Sep/21 9:59 AM,09/Sep/21 4:53 AM,07/Sep/21 9:59 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-16,EL-3,,,,,,,,,,,,{},,,,,,,0|i00064:v,,EL Sprint 1,,,,,,,,Done
Verify the File Upload field for xlsx file.,EL-16,10055,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 10:27 AM,07/Sep/21 9:57 AM,07/Sep/21 4:41 AM,07/Sep/21 9:57 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-15,EL-3,,,,,,,,,,,,{},,,,,,,0|i00066:,,EL Sprint 1,,,,,,,,Done
Verify the File Upload field for doc file.,EL-15,10054,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 10:25 AM,07/Sep/21 4:52 AM,09/Sep/21 4:53 AM,07/Sep/21 4:52 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-14,EL-3,,,,,,,,,,,,{},,,,,,,0|i00064:r,,EL Sprint 1,,,,,,,,Done
Verify the File Upload field for mp3 file.,EL-14,10053,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 10:25 AM,07/Sep/21 9:56 AM,09/Sep/21 4:53 AM,07/Sep/21 9:56 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-13,EL-3,,,,,,,,,,,,{},,,,,,,0|i00064:9,,EL Sprint 1,,,,,,,,Done
Verify the File Upload field for mp4 file.,EL-13,10052,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 10:20 AM,07/Sep/21 9:58 AM,09/Sep/21 4:53 AM,07/Sep/21 9:58 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-12,EL-3,,,,,,,,,,,,{},,,,,,,0|i00063:m,,EL Sprint 1,,,,,,,,Done
Verify the File Upload field for txt file.,EL-12,10051,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 10:19 AM,07/Sep/21 9:57 AM,09/Sep/21 4:53 AM,07/Sep/21 9:57 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-11,EL-3,,,,,,,,,,,,{},,,,,,,0|i00064:i,,EL Sprint 1,,,,,,,,Done
Verify the File Upload field for pdf file.,EL-11,10050,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 10:18 AM,07/Sep/21 4:52 AM,09/Sep/21 4:53 AM,07/Sep/21 4:52 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-10,EL-3,,,,,,,,,,,,{},,,,,,,0|i00063:r,,EL Sprint 1,,,,,,,,Done
Verify the File Upload field for Jpeg file.,EL-10,10049,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 9:51 AM,07/Sep/21 4:52 AM,09/Sep/21 4:53 AM,07/Sep/21 4:52 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-8,EL-3,,,,,,,,,,,,{},,,,,,,0|i00063:i,,EL Sprint 1,,,,,,,,Done
Verify the comment field for emojies.,EL-9,10048,Test,Blocked,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 9:46 AM,07/Sep/21 9:58 AM,07/Sep/21 9:05 AM,,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-8,EL-3,,,,,,,,,,,,{},,,,,,,0|i00064:,,EL Sprint 1,,,,,,,,In Progress
Verify the comment field for null value.,EL-8,10047,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 9:42 AM,07/Sep/21 4:52 AM,09/Sep/21 4:53 AM,07/Sep/21 4:52 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-7,EL-3,,,,,,,,,,,,{},,,,,,,0|i00062:,,EL Sprint 1,,,,,,,,Done
Verify the comment field for 256 characters value.,EL-7,10046,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 9:21 AM,07/Sep/21 9:59 AM,09/Sep/21 4:53 AM,07/Sep/21 9:59 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-6,EL-3,,,,,,,,,,,,{},,,,,,,0|i00065:,,EL Sprint 1,,,,,,,,Done
Verify the comment field for special characters value.,EL-6,10045,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 9:13 AM,07/Sep/21 4:52 AM,09/Sep/21 4:53 AM,07/Sep/21 4:52 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-5,EL-3,,,,,,,,,,,,{},,,,,,,0|i00061:,,EL Sprint 1,,,,,,,,Done
Verify the comment field for numeric value.,EL-5,10044,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 9:07 AM,07/Sep/21 9:56 AM,09/Sep/21 4:53 AM,07/Sep/21 9:56 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,EL-4,EL-3,,,,,,,,,,,,{},,,,,,,0|i00063:,,EL Sprint 1,,,,,,,,Done
Verify the comment field for alphabetic value.,EL-4,10043,Test,Done,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,Done,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 8:45 AM,07/Sep/21 9:58 AM,09/Sep/21 4:53 AM,07/Sep/21 9:58 AM,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,,EL-3,,,,,,,,,,,,{},,,,,,,0|i00067:,,EL Sprint 1,,,,,,,,Done
As a user I want to write comment in the comment field so that i would be able to Write and post on the wall.,EL-3,10042,Story,Blocked,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 8:34 AM,07/Sep/21 9:46 AM,07/Sep/21 7:14 AM,,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,,EL-1,EL-52,EL-53,,,,,,,,,,{},,,,,,,0|i0005z:,,EL Sprint 1,,,,,,,,In Progress
Taste cases to be checked modules within Social Network.,EL-1,10040,Epic,In Progress,EL,E Learning,software,Soham Yadav,612ef77fb1894f00716da8ab,,Medium,,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,Soham Yadav,612ef77fb1894f00716da8ab,02/Sep/21 7:01 AM,08/Sep/21 4:26 AM,08/Sep/21 4:22 AM,,,0,,,Soham Yadav,612ef77fb1894f00716da8ab,,,,,,,,,,,,,EL-56,EL-76,EL-65,,,,,,,,,,{},ghx-label-1,,ELearning,To Do,,,0|i0005r:,,EL Sprint 1,,,,,,,,In Progress
